municipi,districte,seccio,mundissec11,codsecINE 10
80193,6,75,08019306075,0801906075
80193,6,76,08019306076,0801906076
80193,6,77,08019306077,0801906077
80193,6,78,08019306078,0801906078
80193,6,79,08019306079,0801906079
80193,6,80,08019306080,0801906080
80193,6,81,08019306081,0801906081
80193,6,82,08019306082,0801906082
80193,6,83,08019306083,0801906083
80193,6,84,08019306084,0801906084
80193,6,85,08019306085,0801906085
80193,6,86,08019306086,0801906086
80193,6,87,08019306087,0801906087
80193,6,88,08019306088,0801906088
80193,7,1,08019307001,0801907001
80193,7,2,08019307002,0801907002
80193,7,3,08019307003,0801907003
80193,7,4,08019307004,0801907004
80193,7,5,08019307005,0801907005
80193,7,6,08019307006,0801907006
80193,7,7,08019307007,0801907007
80193,7,8,08019307008,0801907008
80193,7,9,08019307009,0801907009
80193,7,10,08019307010,0801907010
80193,7,11,08019307011,0801907011
80193,7,12,08019307012,0801907012
80193,7,13,08019307013,0801907013
80193,7,14,08019307014,0801907014
80193,7,15,08019307015,0801907015
80193,7,16,08019307016,0801907016
80193,7,17,08019307017,0801907017
80193,7,18,08019307018,0801907018
80193,7,19,08019307019,0801907019
80193,7,20,08019307020,0801907020
80193,7,21,08019307021,0801907021
80193,7,22,08019307022,0801907022
80193,7,23,08019307023,0801907023
80193,7,24,08019307024,0801907024
80193,7,25,08019307025,0801907025
80193,7,26,08019307026,0801907026
80193,7,27,08019307027,0801907027
